Region,Service,Monthly,First 12 months total,Currency,Configuration summary
US East (N. Virginia),Amazon EC2,3563.2,42758.4,USD,"Operating system (Linux), Quantity (10), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (m5.4xlarge)"
US East (N. Virginia),Amazon RDS for MySQL,6530.592,78367.1,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (8), Instance type (db.r5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront)"
US East (N. Virginia),Amazon Route 53,1388,16656,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (10), Basic Checks Within AWS (1000)"
US East (N. Virginia),S3 Standard,23,276,USD,S3 Standard storage (1000 GB per month)
US East (N. Virginia),Data Transfer,0,0,USD,
US East (N. Virginia),VPN Connection,0,0,USD,Working days per month (22)
US East (N. Virginia),Network Address Translation (NAT) Gateway,245.7,2948.4,USD,Number of NAT Gateways (2)
US East (N. Virginia),Application Load Balancer,1200.85,14410.2,USD,Number of Application Load Balancers (2)
US East (N. Virginia),Network Load Balancer,5288.85,63466.2,USD,"Number of Network Load Balancers (2), Processed bytes per NLB for TCP (400 GB per hour), Processed bytes per NLB for TLS (200 GB per hour), Average TLS connection duration (10 seconds)"
US East (N. Virginia),Amazon CloudWatch,591.608,7099.3,USD,"Number of Metrics (includes detailed and custom metrics) (250), Standard Logs: Data Ingested (1 TB)"
,,,,,
,Total,18831.8,,,
,,,,,
Acknowledgement,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,
,,,,,
,,,,,
,,,,,
,"- Increase EC2 instances from 4 to 10
- Increase RDS instances from 4 to 8
- Route 53 changed number of Elastic Network Instances from 5 to 10 and Basic Checks Within AWS
 to 1000.
- Network Load Balancer - increases number of processed GB per month (NLB for TCP) and the number of load balancers to 2
- Increasing the number of NAT in the VPC to 2 and data processing to 2000 GB/month
- Application load balancer increased to 2 and processing data to 100GB/hour
- Increased the number of logs and metrics in cloud watch
",,,,
